id,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm
35267831,South Shore,41.753124,-87.550407,Entire home/apt,8,1 bath,4,5,$268.00 ,1,30,2,2,1125,1125,2,1125
35277594,Uptown,41.96051,-87.65316,Entire home/apt,2,1 bath,,1,$126.00 ,2,7,2,2,1125,1125,2,1125
35284210,Englewood,41.77783,-87.65407,Shared room,2,2 shared baths,1,2,$20.00 ,2,3,2,2,3,3,2,3
35284235,Lake View,41.94529,-87.66094,Entire home/apt,6,1 bath,2,2,$187.00 ,3,1125,3,3,1125,1125,3,1125
35313811,West Town,41.89347,-87.65073,Private room,2,2 baths,1,1,$99.00 ,1,7,2,2,7,7,2,7
35314668,West Town,41.90205,-87.69564,Entire home/apt,6,1 bath,3,3,$226.00 ,32,1125,32,32,17,1125,32,954.8
35327978,Near North Side,41.89172,-87.62015,Entire home/apt,2,1 bath,1,1,$207.00 ,30,1125,730,730,1125,1125,730,1125
35346506,North Center,41.95207,-87.68423,Entire home/apt,2,1 bath,1,1,$179.00 ,2,1125,2,3,1125,1125,2.1,1125
35350545,Lake View,41.95149,-87.64921,Entire home/apt,8,2 baths,4,6,$203.00 ,4,1125,3,4,1125,1125,4,1125
35351226,West Town,41.895,-87.65361,Entire home/apt,16,7 baths,8,9,"$2,200.00 ",1,367,2,2,367,367,2,367
35351970,Lake View,41.94455,-87.67143,Entire home/apt,7,1.5 baths,3,4,$396.00 ,5,1125,5,5,1125,1125,5,1125
35353022,Albany Park,41.96586,-87.7325,Entire home/apt,4,1 bath,2,3,$108.00 ,3,1125,4,4,1125,1125,4,1125
35353705,Ohare,41.96362,-87.83722,Entire home/apt,2,1 bath,,1,$95.00 ,1,1125,1,1,1125,1125,1,1125
35376988,Lake View,41.93337,-87.64156,Entire home/apt,2,1 bath,1,1,$65.00 ,2,12,2,2,12,12,2,12
35377394,Grand Boulevard,41.81374,-87.61497,Entire home/apt,10,1.5 baths,2,5,$340.00 ,2,1125,2,2,1125,1125,2,1125
35387909,Near West Side,41.87229,-87.68527,Entire home/apt,4,1 bath,2,2,$264.00 ,2,180,2,2,1125,1125,2,1125
35403153,Mckinley Park,41.82332,-87.67019,Entire home/apt,6,1 bath,2,3,$79.00 ,1,1125,2,2,1125,1125,2,1125
35418949,Near North Side,41.90056,-87.63027,Entire home/apt,3,1 bath,,1,$120.00 ,2,1125,2,2,1125,1125,2,1125
35420803,Lower West Side,41.85558,-87.66415,Entire home/apt,4,1 bath,2,2,$101.00 ,2,1125,2,2,1125,1125,2,1125
35421741,Lake View,41.95141,-87.65889,Entire home/apt,6,1 bath,3,3,"$9,000.00 ",2,1125,2,2,1125,1125,2,1125
35421787,West Town,41.90542,-87.67137,Entire home/apt,6,2.5 baths,3,4,$290.00 ,3,30,2,3,30,30,2.3,30
35428201,Avondale,41.93558,-87.69736,Entire home/apt,4,1 bath,1,1,$85.00 ,5,1125,5,5,1125,1125,5,1125
35430614,Uptown,41.9582,-87.64834,Entire home/apt,3,1 bath,1,1,$63.00 ,2,30,2,2,1125,1125,2,1125
35456427,Portage Park,41.93938,-87.75784,Entire home/apt,4,1 bath,1,2,$500.00 ,1,7,2,2,7,7,2,7
35492873,Norwood Park,41.99254,-87.78484,Private room,2,1 private bath,1,1,$79.00 ,3,29,3,3,29,29,3,29
35495687,Grand Boulevard,41.81175,-87.61143,Entire home/apt,2,1 bath,1,1,$159.00 ,2,1125,2,2,1125,1125,2,1125
35496535,Lincoln Square,41.97219,-87.69762,Entire home/apt,2,1.5 baths,,,$89.00 ,2,1125,2,2,1125,1125,2,1125
35511310,New City,41.79424,-87.66138,Private room,1,1 shared bath,1,1,$29.00 ,1,1125,2,2,1125,1125,2,1125
35511934,Lake View,41.94484,-87.65049,Entire home/apt,6,1 bath,3,3,$200.00 ,1,5,2,2,5,5,2,5
35516706,Uptown,41.96595,-87.67233,Private room,3,1 bath,1,1,$90.00 ,1,1125,2,2,1125,1125,2,1125
35517765,Norwood Park,41.99036,-87.78878,Entire home/apt,2,1 bath,1,1,$65.00 ,1,30,1,2,1125,1125,1.3,1125
35518584,Uptown,41.97562,-87.66286,Entire home/apt,4,1 bath,1,2,$105.00 ,2,1125,2,3,1125,1125,2.9,1125
35548483,Kenwood,41.80299,-87.592,Entire home/apt,8,2 baths,4,5,$155.00 ,3,15,3,3,15,15,3,15
35566367,Lake View,41.93735,-87.65652,Entire home/apt,4,1 bath,1,2,$179.00 ,2,1125,2,5,1125,1125,2.2,1125
35570109,Edgewater,41.99068,-87.65727,Private room,1,1.5 shared baths,1,1,$100.00 ,10,1125,10,10,1125,1125,10,1125
35573202,Rogers Park,42.00533,-87.66291,Entire home/apt,5,1 bath,1,2,$96.00 ,1,1125,2,2,1125,1125,2,1125
35576675,Lake View,41.94524,-87.65535,Entire home/apt,6,1 bath,2,3,$190.00 ,1,1125,2,4,3,1125,3,961.3
35578101,Avondale,41.93214,-87.71007,Entire home/apt,5,1 bath,2,3,$81.00 ,5,90,5,5,1125,1125,5,1125
35579191,Near North Side,41.8977,-87.62222,Entire home/apt,2,1 bath,1,1,$100.00 ,28,1124,28,28,1124,1124,28,1124
35579899,Near North Side,41.89572,-87.63221,Entire home/apt,4,1 bath,1,1,$155.00 ,30,1125,30,30,1125,1125,30,1125
35603449,Portage Park,41.95938,-87.74969,Entire home/apt,3,1 bath,2,2,$85.00 ,6,1125,6,6,1125,1125,6,1125
35604624,Logan Square,41.92108,-87.67352,Entire home/apt,5,2 baths,2,2,$154.00 ,2,1125,2,2,1125,1125,2,1125
35605764,Logan Square,41.92017,-87.69941,Entire home/apt,5,1.5 baths,2,2,$300.00 ,1,1125,2,2,1125,1125,2,1125
35611753,Grand Boulevard,41.82025,-87.61218,Entire home/apt,6,1 bath,2,2,$150.00 ,2,1125,2,2,1125,1125,2,1125
35614041,West Town,41.89655,-87.67693,Entire home/apt,4,1 bath,2,2,$145.00 ,4,1125,4,4,1125,1125,4,1125
35616746,Dunning,41.94916,-87.80305,Private room,2,1.5 baths,1,1,$35.00 ,1,20,2,2,1125,1125,2,1125
35620682,Uptown,41.97588,-87.67274,Private room,2,1 shared bath,1,1,$60.00 ,1,1125,2,2,1125,1125,2,1125
35631372,Humboldt Park,41.89467,-87.71379,Entire home/apt,6,2 baths,3,3,$150.00 ,4,30,4,4,30,30,4,30
35635161,Near North Side,41.89786,-87.62769,Entire home/apt,2,1 bath,1,1,$134.00 ,30,1125,32,730,1125,1125,709.3,1125
35635202,Near North Side,41.89989,-87.62861,Entire home/apt,2,1 bath,1,1,$138.00 ,30,1125,32,730,1125,1125,711.8,1125
35642174,Loop,41.88832,-87.62073,Entire home/apt,4,1 bath,,3,$400.00 ,2,1125,2,2,1125,1125,2,1125
35642875,Loop,41.88633,-87.62506,Entire home/apt,4,2 baths,2,2,$400.00 ,2,1125,2,2,1125,1125,2,1125
35645746,West Garfield Park,41.878,-87.72118,Private room,2,2 shared baths,1,1,$34.00 ,30,365,30,30,365,365,30,365
35648866,West Town,41.9049,-87.6798,Entire home/apt,4,2 baths,2,2,$200.00 ,5,85,5,5,1125,1125,5,1125
35654095,Bridgeport,41.83628,-87.65124,Private room,1,1.5 shared baths,1,1,$40.00 ,2,60,2,2,1125,1125,2,1125
35667306,Lincoln Park,41.91537,-87.63549,Entire home/apt,2,1 bath,,1,$115.00 ,4,18,4,4,18,18,4,18
35681792,Near North Side,41.89025,-87.63013,Private room,3,1 private bath,1,2,$102.00 ,1,1125,2,2,1125,1125,2,1125
35716535,Bridgeport,41.83637,-87.65183,Private room,2,1.5 shared baths,1,1,$40.00 ,2,30,2,2,30,30,2,30
35730130,South Lawndale,41.84834,-87.70357,Entire home/apt,4,1 bath,2,2,$129.00 ,3,31,3,3,31,31,3,31
35731377,East Garfield Park,41.87957,-87.69569,Entire home/apt,16,4 baths,6,11,$314.00 ,2,28,2,3,1125,1125,2.6,1125
35740692,Avalon Park,41.73818,-87.57839,Entire home/apt,5,1 bath,2,4,$65.00 ,3,1125,3,3,1125,1125,3,1125
35743481,Logan Square,41.92448,-87.701607,Entire home/apt,10,2 baths,4,5,$194.00 ,2,1125,2,2,1125,1125,2,1125
35765755,Lincoln Park,41.91496,-87.64144,Entire home/apt,4,1 bath,2,2,$112.00 ,2,1125,2,30,1125,1125,18.7,1125
35767803,Loop,41.88556,-87.6257,Entire home/apt,3,1 bath,,1,$142.00 ,1,300,2,2,1125,1125,2,1125
35769538,Calumet Heights,41.73513,-87.58599,Entire home/apt,6,1.5 baths,2,3,$155.00 ,3,1125,3,3,1125,1125,3,1125
35802969,Near North Side,41.89862,-87.62138,Entire home/apt,2,1 bath,1,1,$120.00 ,32,1124,32,32,1124,1124,32,1124
35803293,West Town,41.90796,-87.67447,Private room,2,1.5 shared baths,1,1,$168.00 ,1,1125,2,2,1125,1125,2,1125
35804189,Logan Square,41.92319,-87.72209,Entire home/apt,7,1 bath,3,4,$123.00 ,2,60,2,2,1125,1125,2,1125
35832251,Loop,41.88612,-87.61633,Entire home/apt,8,2.5 baths,3,3,$238.00 ,3,1125,2,5,1125,1125,4.7,1125
